Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Crush,3,Phineas Godwinn,06:17,0
2,Ahmed Johnson,2,Himself,03:02,2
3,"Fake" Razor Ramon,1,Ahmed Johnson,00:17,0
4,Phineas I. Godwinn,4,Stone Cold Steve Austin,02:52,1
5,Stone Cold Steve Austin,-,Winner,45:07,10
6,Bart Gunn,5,Stone Cold Steve Austin,00:26,0
7,Jake Roberts,6,(Unknown),01:10,0
8,The British Bulldog,8,Owen Hart,08:04,1
9,Pierroth,10,Mil Máscaras,10:32,1
10,The Sultan,7,The British Bulldog,03:23,0
11,Mil Máscaras,11,Himself,07:28,2
12,Hunter Hearst Helmsley,12,Goldust,06:42,0
13,Owen Hart,17,Stone Cold Steve Austin,08:29,2
14,Goldust,13,Owen Hart,05:33,1
15,Cibernético,9,Mil Máscaras;Pierroth,01:25,0
16,Marc Mero,16,Stone Cold Steve Austin,03:53,0
17,Latin Lover,14,Faarooq,01:47,0
18,Faarooq,15,Ahmed Johnson,00:41,1
19,Savio Vega,18,Stone Cold Steve Austin,00:46,0
20,Jesse James,19,Stone Cold Steve Austin,00:29,0
21,Bret Hart,29,Stone Cold Steve Austin,21:12,2
22,Jerry Lawler,20,Bret Hart,00:04,0
23,"Fake" Diesel,28,Bret Hart,17:49,0
24,Terry Funk,24,Mankind,15:18,0
25,Rocky Maivia,23,Mankind,13:01,0
26,Mankind,25,The Undertaker,12:20,2
27,Flash Funk,21,Vader,06:12,0
28,Vader,26,Stone Cold Steve Austin,10:06,1
29,Henry O. Godwinn,22,The Undertaker,06:11,0
30,The Undertaker,27,Stone Cold Steve Austin,06:46,2
