Draw,Entrant,Brand,Order,Eliminated by,Time,Eliminations
1,Triple H,Raw,28,Rey Mysterio,60:09,6
2,Rey Mysterio,SmackDown!,—,Winner,62:12,6
3,Simon Dean,SmackDown!,1,Rey Mysterio;Triple H,00:45,0
4,Psicosis,SmackDown!,2,Rey Mysterio,01:15,0
5,Ric Flair,Raw,3,Triple H,01:20,0
6,Big Show,Raw,7,(Unknown),09:02,2
7,Jonathan Coachman,Raw,4,Big Show,00:30,0
8,Bobby Lashley,SmackDown!,6,Big Show;Kane,04:17,1
9,Kane,Raw,8,Triple H,03:33,1
10,Sylvan,SmackDown!,5,Bobby Lashley,00:18,0
11,Carlito,Raw,26,Rob Van Dam,38:29,2
12,Chris Benoit,SmackDown!,17,Randy Orton,30:31,2
13,Booker T,SmackDown!,9,Chris Benoit,00:18,0
14,Joey Mercury,SmackDown!,22,Shawn Michaels;Johnny Nitro,29:14,1
15,Tatanka,SmackDown!,12,Joey Mercury;Johnny Nitro,14:09,0
16,Johnny Nitro,SmackDown!,23,Shawn Michaels,25:45,2
17,Trevor Murdoch,Raw,13,Shawn Michaels,13:41,0
18,Eugene,Raw,15,Chris Benoit,16:25,0
19,Road Warrior Animal,SmackDown!,10,Rob Van Dam,02:49,0
20,Rob Van Dam,Raw,27,Triple H and Rey Mysterio,23:52,4
21,Orlando Jordan,SmackDown!,21,Randy Orton,16:09,0
22,Chavo Guerrero,Raw,11,Triple H,00:59,0
23,Matt Hardy,SmackDown!,14,Viscera,07:42,0
24,Super Crazy,SmackDown!,16,Rey Mysterio;Rob Van Dam,07:40,0
25,Shawn Michaels,Raw,25,Shane McMahon,12:55,4
26,Chris Masters,Raw,19,Carlito,07:01,1
27,Viscera,Raw,18,Carlito & Chris Masters,05:20,1
28,Shelton Benjamin,Raw,24,Shawn Michaels,06:51,0
29,Goldust,Raw,20,Rob Van Dam,03:09,0
30,Randy Orton,SmackDown!,29,Rey Mysterio,13:04,2
