Draw,Entrant,Brand,Order,Eliminated by,Time,Elimination(s)
1,Big Cass,Raw,3,Braun Strowman,09:57,0
2,Chris Jericho,Raw,27,Roman Reigns,1:00:13,2
3,Kalisto,SmackDown,4,Braun Strowman,08:17,0
4,Mojo Rawley,SmackDown,2,(Unknown),06:16,0
5,Jack Gallagher,Raw,1,Mark Henry,03:20,0
6,Mark Henry,Raw,5,Braun Strowman,03:17,1
7,Braun Strowman,Raw,9,Baron Corbin,13:11,7
8,Sami Zayn,Raw,25,The Undertaker,47:12,0
9,Big Show,Raw,6,Braun Strowman,01:42,0
10,Tye Dillinger,NXT,8,Braun Strowman,05:27,0
11,James Ellsworth,SmackDown,7,Braun Strowman,00:15,0
12,Dean Ambrose,SmackDown,16,Brock Lesnar,26:55,0
13,Baron Corbin,SmackDown,21,The Undertaker,32:39,1
14,Kofi Kingston,Raw,10,Cesaro & Sheamus,16:13,0
15,The Miz,SmackDown,24,The Undertaker,32:44,0
16,Sheamus,Raw,14,Chris Jericho,12:13,3
17,Big E,Raw,12,Cesaro & Sheamus,09:46,0
18,Rusev,Raw,20,Goldberg,22:31,0
19,Cesaro,Raw,13,Chris Jericho,06:44,3
20,Xavier Woods,Raw,11,Cesaro;Sheamus,04:47,0
21,Bray Wyatt,SmackDown,28,Roman Reigns,24:11,0
22,Apollo Crews,SmackDown,15,Luke Harper,05:46,0
23,Randy Orton,SmackDown,—,Winner,20:52,1
24,Dolph Ziggler,SmackDown,17,Brock Lesnar,04:21,0
25,Luke Harper,SmackDown,22,Goldberg,09:56,1
26,Brock Lesnar,Raw,19,Goldberg,04:30,3
27,Enzo Amore,Raw,18,Brock Lesnar,00:18,0
28,Goldberg,Raw,23,The Undertaker,03:24,3
29,The Undertaker,Free agent,26,Roman Reigns,08:46,4
30,Roman Reigns,Raw,29,Randy Orton,05:05,3
