Draw,Entrant,Brand/Status,Order,Eliminated by,Time,Elimination(s)
1,Elias,Raw,5,Seth Rollins,15:07,1
2,Jeff Jarrett,Free agent,1,Elias,01:20,0
3,Shinsuke Nakamura,SmackDown,8,Mustafa Ali,17:46,1
4,Kurt Angle,Raw,2,Shinsuke Nakamura,03:15,0
5,Big E,SmackDown,4,Samoa Joe,06:01,0
6,Johnny Gargano,NXT,9,Dean Ambrose,13:50,1
7,Jinder Mahal,Raw,3,Johnny Gargano,00:30,0
8,Samoa Joe,SmackDown,14,Mustafa Ali,24:05,3
9,Curt Hawkins,Raw,7,Samoa Joe,04:09,1
10,Seth Rollins,Raw,—,Winner,43:00,3
11,Titus ONeil,Raw,6,Curt Hawkins,00:05,0
12,Kofi Kingston,SmackDown,12,Drew McIntyre,08:53,0
13,Mustafa Ali,SmackDown,23,Nia Jax,30:05,2
14,Dean Ambrose,Raw,13,Aleister Black,14:42,1
15,No Way Jose,Raw,10,Samoa Joe,00:02,0
16,Drew McIntyre,Raw,22,Dolph Ziggler;Braun Strowman,20:06,4
17,Xavier Woods,SmackDown,11,Drew McIntyre,00:03,0
18,Pete Dunne,NXT UK,17,Drew McIntyre,11:13,0
19,Andrade,SmackDown,27,Braun Strowman,26:30,1
20,Apollo Crews,Raw,15,Baron Corbin,05:47,0
21,Aleister Black,NXT,16,Baron Corbin,06:09,1
22,Shelton Benjamin,SmackDown,20,Braun Strowman,09:21,0
23,Baron Corbin,Raw,19,Braun Strowman,07:19,2
24,Jeff Hardy,SmackDown,21,Braun Strowman;Drew McIntyre,07:55,0
25,Rey Mysterio,SmackDown,25,Randy Orton,12:30,1
26,Bobby Lashley,Raw,18,Seth Rollins,00:13,0
27,Braun Strowman,Raw,29,Seth Rollins,14:37,6
28,Dolph Ziggler,Raw,28,Braun Strowman,11:34,1
29,Randy Orton,SmackDown,26,Andrade,06:00,1
30,Nia Jax,Raw,24,Rey Mysterio,03:11,1
