Draw,Entrant,Brand/Status,Order,Eliminated by,Time,Elimination(s)
1,Alexa Bliss,Smackdown,15,Bianca Belair,26:34,3
2,Bianca Belair,NXT,16,Charlotte Flair,33:20,8
3,Mighty Molly,Free agent,3,Bianca Belair,10:21,0
4,Nikki Cross,Smackdown,5,Bianca Belair,15:08,0
5,Lana,Raw,1,Liv Morgan,02:29,0
6,Mercedes Martinez,NXT,4,Mandy Rose;Sonya Deville,08:14,0
7,Liv Morgan,Raw,2,Lana,00:44,1
8,Mandy Rose,Smackdown,6,Bianca Belair,08:49,1
9,Candice LeRae,NXT,8,Bianca Belair,09:01,0
10,Sonya Deville,Smackdown,7,Bianca Belair,05:31,1
11,Kairi Sane,Raw,9,Alexa Bliss,05:22,0
12,Mia Yim,NXT,11,Alexa Bliss,06:30,0
13,Dana Brooke,Smackdown,14,Bianca Belair,05:26,0
14,Tamina,Smackdown,10,Bianca Belair,00:39,0
15,Dakota Kai,NXT,12,Chelsea Green,01:32,0
16,Chelsea Green,NXT,13,Alexa Bliss,00:12,1
17,Charlotte Flair,Raw,--,Winner,27:19,4
18,Naomi,Raw,26,Shayna Baszler,22:01,0
19,Beth Phoenix,NXT,28,Shayna Baszler,23:05,1
20,Toni Storm,NXT UK,25,Shayna Baszler,18:40,0
21,Kelly Kelly,Free agent,18,Charlotte Flair,02:29,0
22,Sarah Logan,Raw,17,Charlotte Flair,00:28,0
23,Natalya,Raw,27,Beth Phoenix,14:43,0
24,Xia Li,NXT,20,Shayna Baszler,10:49,0
25,Zelina Vega,Raw,22,Shayna Baszler,09:31,0
26,Shotzi Blackheart,NXT,23,Shayna Baszler,07:57,0
27,Carmella,Smackdown,24,Shayna Baszler,06:36,0
28,Tegan Nox,NXT,21,Shayna Baszler,03:50,0
29,Santina Marella,Free agent,19,Santina Marella,01:01,0
30,Shayna Baszler,NXT,29,Charlotte Flair,04:27,8
